model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
sentence-transformers/LaBSE,english,0,baseline_mean,0,none,0.001,0.5264666905347417,0.5448002619798935,3564,3564
sentence-transformers/LaBSE,english,0,sif_abtt_optimal,10,train_sweep,0.001,0.6799372249537328,0.676542213459896,3564,3564
sentence-transformers/LaBSE,english,0,whitening,0,none,0.001,0.6706470133447358,0.6713381602174977,3564,3564
sentence-transformers/LaBSE,english,1,baseline_mean,0,none,0.001,0.5085253326434817,0.5334794282895239,3564,3564
sentence-transformers/LaBSE,english,1,sif_abtt_optimal,10,train_sweep,0.001,0.6874598026443616,0.6897423739749526,3564,3564
sentence-transformers/LaBSE,english,1,whitening,0,none,0.001,0.659772019425664,0.6663986724533255,3564,3564
sentence-transformers/LaBSE,english,2,baseline_mean,0,none,0.001,0.5179072407060795,0.5475227106551245,3564,3564
sentence-transformers/LaBSE,english,2,sif_abtt_optimal,10,train_sweep,0.001,0.6830435542747203,0.6881194195031165,3564,3564
sentence-transformers/LaBSE,english,2,whitening,0,none,0.001,0.6468985401443691,0.6528185290311476,3564,3564
sentence-transformers/LaBSE,english,3,baseline_mean,0,none,0.001,0.5359383369200547,0.5655765429690914,3564,3564
sentence-transformers/LaBSE,english,3,sif_abtt_optimal,10,train_sweep,0.001,0.6866697706725043,0.6940496467747811,3564,3564
sentence-transformers/LaBSE,english,3,whitening,0,none,0.001,0.6454973503134053,0.6552709943367041,3564,3564
sentence-transformers/LaBSE,english,4,baseline_mean,0,none,0.001,0.5434172298509481,0.5748902474413224,3564,3564
sentence-transformers/LaBSE,english,4,sif_abtt_optimal,10,train_sweep,0.001,0.6910144822739929,0.6998394200088179,3564,3564
sentence-transformers/LaBSE,english,4,whitening,0,none,0.001,0.6458542185961664,0.6595275300023118,3564,3564
sentence-transformers/LaBSE,english,5,baseline_mean,0,none,0.001,0.5246535072275166,0.5613952942591547,3564,3564
sentence-transformers/LaBSE,english,5,sif_abtt_optimal,10,train_sweep,0.001,0.684182373710403,0.6975538798238325,3564,3564
sentence-transformers/LaBSE,english,5,whitening,0,none,0.001,0.6473515762724789,0.6543035987156851,3564,3564
sentence-transformers/LaBSE,english,6,baseline_mean,0,none,0.001,0.5851192295385252,0.6239231700799972,3564,3564
sentence-transformers/LaBSE,english,6,sif_abtt_optimal,10,train_sweep,0.001,0.7058627828850541,0.7219268433732876,3564,3564
sentence-transformers/LaBSE,english,6,whitening,0,none,0.001,0.6637345141264711,0.6723855741188559,3564,3564
sentence-transformers/LaBSE,english,7,baseline_mean,0,none,0.001,0.5776526550887525,0.614552743292131,3564,3564
sentence-transformers/LaBSE,english,7,sif_abtt_optimal,10,train_sweep,0.001,0.704410629496132,0.7222834353954947,3564,3564
